Iteration,Movie,Rating,Timestamp
1,Tom and Huck (1995),3,2024-12-28T20:45:50.438664
2,Babe (1995),2,2024-12-28T20:45:50.438872
3,"Usual Suspects, The (1995)",2,2024-12-28T20:45:50.438998
4,Assassins (1995),2,2024-12-28T20:45:50.439106
5,When Night Is Falling (1995),4,2024-12-28T20:45:50.439208
6,Sudden Death (1995),3,2024-12-28T20:45:50.439305
7,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),2,2024-12-28T20:45:50.439404
8,It Takes Two (1995),4,2024-12-28T20:45:50.439502
9,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3,2024-12-28T20:45:50.439593
10,Get Shorty (1995),3,2024-12-28T20:45:50.439682
11,Waiting to Exhale (1995),2,2024-12-28T20:45:50.439769
12,Money Train (1995),3,2024-12-28T20:45:50.439857
13,Across the Sea of Time (1995),3,2024-12-28T20:45:50.439944
14,Sabrina (1995),4,2024-12-28T20:45:50.440030
15,Seven (a.k.a. Se7en) (1995),3,2024-12-28T20:45:50.440116
16,Restoration (1995),4,2024-12-28T20:45:50.440201
17,How to Make an American Quilt (1995),3,2024-12-28T20:45:50.440306
18,To Die For (1995),2,2024-12-28T20:45:50.440412
19,Dangerous Minds (1995),2,2024-12-28T20:45:50.440515
20,Leaving Las Vegas (1995),2,2024-12-28T20:45:50.440621
21,Clueless (1995),3,2024-12-28T20:45:50.440712
22,Grumpier Old Men (1995),3,2024-12-28T20:45:50.440796
23,Balto (1995),3,2024-12-28T20:45:50.440881
24,Pocahontas (1995),4,2024-12-28T20:45:50.440980
25,Casino (1995),4,2024-12-28T20:45:50.441067
26,Toy Story (1995),4,2024-12-28T20:45:50.441155
27,Sense and Sensibility (1995),2,2024-12-28T20:45:50.441240
28,Ace Ventura: When Nature Calls (1995),3,2024-12-28T20:45:50.441323
29,Heat (1995),2,2024-12-28T20:45:50.441408
30,Cutthroat Island (1995),1,2024-12-28T20:45:50.441501
31,"American President, The (1995)",5,2024-12-28T20:45:50.441604
32,Carrington (1995),2,2024-12-28T20:45:50.441686
33,Richard III (1995),2,2024-12-28T20:45:50.441772
34,Mortal Kombat (1995),1,2024-12-28T20:45:50.441857
35,Dracula: Dead and Loving It (1995),1,2024-12-28T20:45:50.441943
36,Othello (1995),3,2024-12-28T20:45:50.442027
37,Four Rooms (1995),4,2024-12-28T20:45:50.442110
38,Nixon (1995),3,2024-12-28T20:45:50.442193
39,GoldenEye (1995),4,2024-12-28T20:45:50.442277
40,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.442360
41,Dead Presidents (1995),3,2024-12-28T20:45:50.442442
42,Powder (1995),3,2024-12-28T20:45:50.442517
43,Persuasion (1995),2,2024-12-28T20:45:50.442588
44,Copycat (1995),4,2024-12-28T20:45:50.442659
45,Dead Man Walking (1995),3,2024-12-28T20:45:50.442730
46,Wings of Courage (1995),3,2024-12-28T20:45:50.442803
47,Jumanji (1995),2,2024-12-28T20:45:50.442875
48,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3,2024-12-28T20:45:50.442946
49,"Cry, the Beloved Country (1995)",2,2024-12-28T20:45:50.443017
50,Now and Then (1995),4,2024-12-28T20:45:50.443087
51,Sabrina (1995),5,2024-12-28T20:45:50.443310
52,"Cry, the Beloved Country (1995)",2,2024-12-28T20:45:50.443399
53,Casino (1995),3,2024-12-28T20:45:50.443484
54,To Die For (1995),3,2024-12-28T20:45:50.443568
55,How to Make an American Quilt (1995),4,2024-12-28T20:45:50.443648
56,Now and Then (1995),3,2024-12-28T20:45:50.443728
57,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.443809
58,Dead Presidents (1995),3,2024-12-28T20:45:50.443888
59,"American President, The (1995)",5,2024-12-28T20:45:50.443968
60,It Takes Two (1995),4,2024-12-28T20:45:50.444054
61,Pocahontas (1995),4,2024-12-28T20:45:50.444135
62,"American President, The (1995)",4,2024-12-28T20:45:50.444314
63,Leaving Las Vegas (1995),2,2024-12-28T20:45:50.444405
64,It Takes Two (1995),4,2024-12-28T20:45:50.444488
65,Tom and Huck (1995),2,2024-12-28T20:45:50.444568
66,"Usual Suspects, The (1995)",2,2024-12-28T20:45:50.444653
67,Dangerous Minds (1995),2,2024-12-28T20:45:50.444735
68,When Night Is Falling (1995),3,2024-12-28T20:45:50.444817
69,Copycat (1995),3,2024-12-28T20:45:50.444899
70,Seven (a.k.a. Se7en) (1995),2,2024-12-28T20:45:50.444980
71,Restoration (1995),5,2024-12-28T20:45:50.445061
72,"American President, The (1995)",4,2024-12-28T20:45:50.445153
73,Father of the Bride Part II (1995),5,2024-12-28T20:45:50.445234
74,Pocahontas (1995),3,2024-12-28T20:45:50.445314
75,Copycat (1995),3,2024-12-28T20:45:50.445395
76,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.445481
77,Sabrina (1995),4,2024-12-28T20:45:50.445560
78,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3,2024-12-28T20:45:50.445644
79,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.445724
80,GoldenEye (1995),4,2024-12-28T20:45:50.445805
81,Assassins (1995),3,2024-12-28T20:45:50.445885
82,Casino (1995),4,2024-12-28T20:45:50.445964
83,"American President, The (1995)",4,2024-12-28T20:45:50.446043
84,Father of the Bride Part II (1995),4,2024-12-28T20:45:50.446122
85,Restoration (1995),5,2024-12-28T20:45:50.446201
86,Sabrina (1995),4,2024-12-28T20:45:50.446281
